product_id,product_name,brand_id,brand_name,loves_count,rating,reviews,size,variation_type,variation_value,variation_desc,ingredients,price_usd,limited_edition,new,online_only,out_of_stock,sephora_exclusive,highlights,primary_category,secondary_category,tertiary_category,child_count,child_max_price,child_min_price
P404830,Lip Gloss,5746,Anastasia Beverly Hills,228646,4.4551,1672,0.16 oz/ 4.73 mL,Color,Kristen,cool desert sand,"['Polybutene, Triisodecyl Trimellitate, Mineral Oil/Paraffinum Liquidum/Huile Minerale, Mica, Disteardimonium Hectorite, Bis-Diglyceryl Polyacyladipate-2, Limnanthes Alba Seed Oil, Octyldodecanol, Silica Dimethyl Silylate, Propylene Carbonate, Ethylhexyl Palmitate, Propylparaben, Tocopheryl Acetate, Fragrance/Parfum, May Contain/Peut Contenir: (+/-) Red 6 (Ci 15850), Yellow 5 Lake (Ci 19140), Blue 1 Lake (Ci 42090), Red 22 Lake (Ci 45380), Red 27 Lake (Ci 45410), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891).']",16,0,0,0,0,0,,Makeup,Lip,Lip Gloss,9,16,16
P69304,Strong Hold Clear Brow Gel,5746,Anastasia Beverly Hills,209498,4.4206,4826,0.26 oz/ 7.85 ml,Color,Clear,colorless,"['Water/Eau/Aqua, Alcohol Denat., Vp/Va Copolymer, Propylene Glycol, Carbomer, Glycerin, Aminomethyl Propanol, Hydrolyzed Glycosaminoglycans, Butylene Glycol, Chamomilla Recutita (Matricaria) Flower Extract, Sodium Hyaluronate, Tetrasodium Edta, Phenoxyethanol, Methylparaben, Propylparaben.']",22,0,0,0,0,0,"['Vegan', 'Hyaluronic Acid', 'Community Favorite', 'Long-wearing', 'Strong Hold']",Makeup,Eye,Eyebrow,1,9,9
P69300,Ombre Effect Long Wearing Brow Powder Duo,5746,Anastasia Beverly Hills,187062,4.695,5086,0.03 oz/ 2 x 0.8 g,Color,Medium Brown,taupe based brown,"['Talc, Boron Nitride, Nylon-12, Ethylhexyl Palmitate, Magnesium Myristate, Zinc Stearate, Silica, Methicone, Sodium Dehydroacetate, Ascorbyl Palmitate, Tocopherol, Methylparaben, Propylparaben, Butylparaben,  May Contain/Peut Contenir: Iron Oxides (CI 77499, CI 77492, CI 77491), Titanium Dioxide (CI 77891), Ultramarines (CI 77007).']",23,0,0,0,0,0,"['Natural Finish', 'Pressed Powder Formula', 'Vegan', 'Fragrance Free', 'Community Favorite']",Makeup,Eye,Eyebrow,10,23,23
P468341,Brow Freeze Extreme Hold Laminated-Look Sculpting Wax,5746,Anastasia Beverly Hills,178195,3.9071,2293,0.28 oz/ 8 g,Color,Clear,translucent/clear,"['Water (Aqua) Ceteareth-30, D-Sorbitol, Propanediol, Glycerin, Phenoxyethanol Propylene Glycol, Ethylhexylglycerin, Citric Acid, Potassium Sorbate.']",23,0,0,0,0,0,"['Natural Finish', 'Vegan', 'Oil Free', 'Best for Oily, Combo, Normal Skin']",Makeup,Eye,Eyebrow,0,,
P454751,Mini Strong Hold Clear Brow Gel,5746,Anastasia Beverly Hills,111380,4.1889,90,0.085 fl oz/ 2.5ml,Color,Clear,colorless,"['Water/Eau/Aqua, Alcohol Denat., Vp/Va Copolymer, Propylene Glycol, Carbomer, Glycerin, Aminomethyl Propanol, Hydrolyzed Glycosaminoglycans, Butylene Glycol, Chamomilla Recutita (Matricaria) Flower Extract, Sodium Hyaluronate, Tetrasodium Edta, Phenoxyethanol, Methylparaben, Propylparaben.']",9,0,0,0,0,0,"['Vegan', 'Hyaluronic Acid', 'Community Favorite', 'Long-wearing', 'Strong Hold']",Makeup,Eye,Eyebrow,0,,
P410504,Stick Foundation,5746,Anastasia Beverly Hills,95974,3.4315,1868,0.32 oz/ 9.1 g,Color,Banana,highlight pale yellow,"['Phenyl Trimethicone, Dimethicone, Isononyl Isononanoate, Silica, Bis-Diglyceryl Polyacyladipate-2, Ozokerite, Polymethyl Methacrylate, Triisodecyl Trimellitate, Polyethylene, Microcrystalline Wax/Cera Microcristallina, Euphorbia Cerifera (Candelilla) Wax/Candelilla Cera, Kaolin, Ethylhexyl Palmitate, Isopropyl Myristate, Isostearic Acid, Lecithin, Limnanthes Alba (Meadowfoam) Seed Oil, Polyglyceryl-3 Polyricinoleate, Polyhydroxystearic Acid, Simmondsia Chinensis (Jojoba) Seed Oil, Sodium Magnesium Silver Phosphate, Tocopheryl Acetate. May Contain (+/-): Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891).']",25,0,0,0,0,0,,Makeup,Face,Foundation,3,25,25
P187202,Tinted Brow Gel,5746,Anastasia Beverly Hills,86781,4.1864,2640,0.32 oz / 9 g,Color,Blonde,golden taupe,"['Water, Alcohol Denat., Vp/Va Copolymer, Mica, Butylene Glycol, Glycerin, Caprylyl Glycol, Carbomer, Ethylhexylglycerin, Hexylene Glycol, Phenoxyethanol, Disodium Edta, Triethanolamine, May Contain: (+/-) Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891).']",22,0,0,0,0,0,"['Vegan', 'Natural Finish', 'Long-wearing', 'Full Coverage']",Makeup,Eye,Eyebrow,6,22,22
P441838,DIPBROW Gel,5746,Anastasia Beverly Hills,76766,3.7853,1076,,Color,Blonde,for blonde hair with warm/gold undertones,"['Isododecane, Talc, Trimethylsiloxysilicate, Dimethicone, Beeswax, Vp/Eicosene Copolymer, Caprylyl Methicone, Trihydroxystearin, Triethylhexanoin, Trisiloxane, Silica, Disteardimonium Hectorite, Hdi/Trimethylol Hexyllactone Crosspolymer, Propylene Carbonate, Pentaerythrityl Tetra‐Di‐T‐Butyl Hydroxyhydrocinnamate. May Contain (+/-): Manganese Violet (Ci 77742), Ultramarines (Ci 77007), Carmine (Ci 75470), Yellow 5 Lake (Ci 19140), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891).']",20,0,0,0,0,0,"['Full Coverage', 'Waterproof', 'Matte Finish', 'Long-wearing']",Makeup,Eye,Eyebrow,15,20,9
P480576,Matte & Satin Velvet Lipstick,5746,Anastasia Beverly Hills,73493,4.6062,1427,,Color,Blush Brown,pinky brown with a matte finish,"['Octyldodecanol, Polybutene, Polyethylene, Microcrystalline Wax/Cera Microcristallina/Cire Microcristalline, Hydrogenated Polyisobutene, Bis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate, Dicalcium Phosphate, Ethylene/Propylene/Styrene Copolymer, Mica, Ethyl Vanillin, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Polymethylsilsesquioxane, C20-24 Olefin, Butylene/Ethylene/Styrene Copolymer, Tocopherol, Bht, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Blue 1 Lake (Ci 42090), Red 6 (Ci 15850), Red 7 Lake (Ci 15850).']",23,0,0,0,0,0,"['Satin Finish', 'Matte Finish', 'Oil Free', 'Alcohol Free', 'Cruelty-Free']",Makeup,Lip,Lipstick,23,23,23
P386783,Pro Pencil,5746,Anastasia Beverly Hills,66546,4.0611,360,0.087 oz/ 2.4 g,Color,Base 1,,"['C10-18 Triglycerides, Hydrogenated Palm Glycerides, Caprylic/Capric Triglyceride, Polyethylene, Mica, Talc, Microcrystalline Wax/Cire Microcristalline/Cera Microcristallina, Ascorbyl Palmitate, Tocopherol. May Contain: (+/-) Iron Oxides (CI 77491, CI 77492, CI 77499), Titanium Dioxide (CI 77891).']",18,0,0,0,0,0,"['Full Coverage', 'Matte Finish', 'Stick Formula', 'Vegan', 'Without Parabens']",Makeup,Eye,Eyebrow,2,18,18
P442999,DIPBROW Gel - Mini,5746,Anastasia Beverly Hills,65374,3.3403,573,,Color,Soft Brown,for light brown hair with warm/cool undertones,"['Isododecane, Talc, Trimethylsiloxysilicate, Dimethicone, Beeswax, Vp/Eicosene Copolymer, Caprylyl Methicone, Trihydroxystearin, Triethylhexanoin, Trisiloxane, Silica, Disteardimonium Hectorite, Hdi/Trimethylol Hexyllactone Crosspolymer, Propylene Carbonate, Pentaerythrityl Tetra‐Di‐T‐Butyl Hydroxyhydrocinnamate. May Contain (+/-): Manganese Violet (Ci 77742), Ultramarines (Ci 77007), Carmine (Ci 75470), Yellow 5 Lake (Ci 19140), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891).']",9,0,0,0,0,0,"['Matte Finish', 'Long-wearing', 'Full Coverage', 'Waterproof']",Makeup,Eye,Eyebrow,4,9,9
P449124,Luminous Foundation,5746,Anastasia Beverly Hills,64069,4.1304,1902,1.01 oz/ 30 ml,Color,330W,medium skin with a warm yellow undertone,"['Water/Aqua, Cyclopentasiloxane, Isododecane, Caprylyl Methicone, C12-15 Alkyl Benzoate, Ethylhexyl Palmitate, Polyglyceryl-4 Isostearate, Hexyl Laurate, Cetyl Peg/Ppg-10/1 Dimethicone, Glycerin, Trimethylsiloxysilicate, Butylene Glycol, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Sodium Chloride, Laminaria Ochroleuca Extract, Alanine, Arginine, Glycine, Isoleucine, Histidine, Phenylalanine, Proline, Threonine, Serine, Aspartic Acid, Valine, Sodium Pca, Panthenol, Tocopheryl Acetate, Allantoin, Sodium Lactate, Pca, Ethylhexylglycerin, Caprylic/Capric Triglyceride, Simethicone, Tetrasodium Edta, Triethoxycaprylylsilane, Zinc Stearate, Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone, Stearalkonium Hectorite, Propylene Carbonate, Phenoxyethanol. May Contain (+/-): Chromium Oxide Greens (Ci 77288), Ultramarines (Ci 77007), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891).']",38,0,0,0,0,0,"['Vegan', 'Good for: Dullness/Uneven Texture', 'Liquid Formula', 'Hydrating', 'Long-wearing', 'Good for: Anti-Aging']",Makeup,Face,Foundation,49,38,38
P69305,Perfect Brow Pencil,5746,Anastasia Beverly Hills,63182,4.4411,2156,0.034 oz/ 0.85 g,Color,Taupe,cool taupe,"['C10-18 Triglycerides, Hydrogenated Vegetable Oil, Talc, Mica, Hydrogenated Cottonseed Oil, Caprylic/Capric Triglyceride, Ascorbyl Palmitate, Tocopherol,May Contain/Peut Contenir: (+/-) Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891).']",23,0,0,0,0,0,,Makeup,Eye,Eyebrow,7,23,23
P462328,Superfine Micro-Stroking Detail Brow Pen,5746,Anastasia Beverly Hills,51057,3.9654,866,0.017 oz / 0.5 mL,Color,Dark Brown,,"['Water/Aqua/Eau, Butylene Glycol, Acrylates/Ethylhexyl Acrylate Crosspolymer, Pentylene Glycol, Pvp, Ammonium Acrylates Copolymer, Polyglyceryl-3 Disiloxane Dimethicone, Ethylhexylglycerin, Caprylyl Glycol, Sodium Polyacrylate, 1,2-Hexanediol, Laureth-21, Steareth-20, Disodium Laureth Sulfosuccinate, Sodium Lauryl Sulfate, Peg-40 Hydrogenated Castor Oil, Sodium Dehydroacetate, Phenoxyethanol, Black 2 (Ci 77266) [Nano], Iron Oxides (Ci 77491, Ci 77492).']",22,0,0,0,0,0,"['Waterproof', 'Natural Finish', 'Liquid Formula', 'Vegan', 'Fragrance Free']",Makeup,Eye,Eyebrow,8,22,22
P443753,Dewy Set Setting Spray,5746,Anastasia Beverly Hills,50318,4.2373,316,0.4 oz/ 100 mL,Type,,,"['Water, Glycerin, Butylene Glycol, Portulaca Oleracea Extract, Caprylyl Glycol, Disodium EDTA, Ethylhexylglycerin, Panthenol, PEG-40 Hydrogenated Castor Oil, Pentylene Glycol, PPG-26-Buteth-26, Sodium Citrate, Fragrance.']",26,0,0,0,0,0,"['Radiant Finish', 'Best for Dry, Combo, Normal Skin', 'Floral Scent', 'Vegan']",Makeup,Face,Setting Spray & Powder,1,15,15
P427916,Powder Bronzer,5746,Anastasia Beverly Hills,44106,4.5012,433,0.35 oz /10 g,Color,Rosewood,light golden,"['Boron Nitride, Caprylic/Capric Triglyceride, Lauroyl Lysine, Nylon-12, Polymethylsilsesquioxane, Aluminum Starch Octenylsuccinate, Magnesium Stearate, Dimethicone, Triethoxycaprylylsilane, Caprylyl Glycol, Ethylhexyl Palmitate, Ethylhexylglycerin, Isopropyl Myristate, Isostearic Acid, Lecithin, Phenoxyethanol, Polyglyceryl-3 Polyricinoleate, Polyhydroxystearic Acid, Tocopheryl Acetate. May Contain (+/-): Mica, Red 6 (Ci 15850), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891).']",28,0,0,0,0,0,,Makeup,Cheek,Bronzer,2,28,28
P474813,Stick Cream Blush,5746,Anastasia Beverly Hills,43248,4.6228,729,0.28 oz / 8.0 g,Color,Nectarine,light bright peach,"['NECTARINE DIISOSTEARYL MALATE, BUTYLENE GLYCOL DICAPRYLATE/DICAPRATE, DIMETHICONE, ISOTRIDECYL ISONONANOATE, POLYMETHYLSILSESQUIOXANE, MICA, PARAFFIN, POLYISOBUTENE, SILICA, MICROCRYSTALLINE WAX/CERA MICROCRISTALLINA/CIRE MICROCRISTALLINE, POLYETHYLENE, SORBITAN SESQUIOLEATE, EUPHORBIA CERIFERA (CANDELILLA) CERA/EUPHORBIA CERIFERA (CANDELILLA) WAX, 1,2-HEXANEDIOL, CAPRYLIC/CAPRIC GLYCERIDES, TOCOPHERYL ACETATE, POLYGLYCERYL-2 TRIISOSTEARATE, MAY CONTAIN/PEUT CONTENIR (+/-): TITANIUM DIOXIDE (CI 77891), IRON OXIDES (CI 77491, CI 77492), RED 7 LAKE (CI 15850), YELLOW 5 LAKE (CI 19140), BLUE 1 LAKE (CI 42090), YELLOW 6 LAKE (CI 15985)']",32,0,0,0,0,0,"['Stick Formula', 'Radiant Finish', 'Natural Finish', 'Long-wearing', 'Without Parabens', 'Cruelty-Free']",Makeup,Cheek,Blush,6,32,32
P475045,Magic Touch Concealer,5746,Anastasia Beverly Hills,42036,4.551,2717,0.4 oz/ 12 mL,Color,19,medium to tan skin with peach undertones,"['Aqua/Water/Eau, Behenyl Dimethicone, Bis-Stearyl Dimethicone, Glycerin, Caprylyl Methicone, C12-15 Alkyl Benzoate, Ethylhexyl Palmitate, Polyglyceryl-4 Isostearate, Cetyl Peg/Ppg-10/1 Dimethicone, Diphenyl Dimethicone, Disteardimonium Hectorite, Aluminum Hydroxide, Sodium Chloride, 1,2-Hexanediol, Caprylyl Glycol, Helianthus Annuus (Sunflower) Seed Oil, Talc, Ammonium Glycyrrhizate, Disodium Edta, Sodium Lauroyl Glutamate, Xanthan Gum, Lysine, Rosmarinus Officinalis (Rosemary) Leaf Extract, Tocopherol, Magnesium Chloride, Lecithin, Ascorbyl Palmitate, Glyceryl Stearate, Glyceryl Oleate, Synthetic Fluorphlogopite, Sodium Hyaluronate, Hydrogen Dimethicone, Methicone, Citric Acid, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Phenoxyethanol, May Contain/Peut Contenir (+/-): Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Chromium Oxide Greens (Ci 77288), Blue 1 Lake  (Ci 42090).']",29,0,0,0,0,0,"['Natural Finish', 'Liquid Formula', 'Good for: Dark Circles', 'Medium Coverage', 'Best for Oily, Combo, Normal Skin', 'Good for: Dark spots']",Makeup,Face,Concealer,24,29,29
P224610,Highlighting Duo Pencil,5746,Anastasia Beverly Hills,41399,4.4611,501,0.18 oz/ 5 g,Color,Matte Camille / Sand Shimmer,pink based flesh tone/ iridescent beige,"['Matte Highlighter Side:', 'Isodecyl Isononanoate, Hydrogenated Coco-Glycerides, Silica, Euphorbia Cerifera (Candelilla Cera) Wax, Microcrystalline Wax (Cera Microcristallina), Mica, Polymethyl Methacrylate, Copernicia Cerifera (Cera Carnauba) Wax, Methylparaben, Disteardimonium Hectorite, Propylparaben, Propylene Carbonate, Tocopherol, Ascorbyl Palmitate, Talc. May Contain: (+/-) Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499).', 'Shimmer Highlighter Side:', 'Ricinus Communis (Castor) Seed Oil, Euphorbia Cerifera (Candelilla Cera) Wax, Octyldodecanol, Ethylhexyl Palmitate, Simmondsia Chinensis (Jojoba) Seed Oil, Bis-diglyceryl Polyacyladipate-2, Copernicia Cerifera (Cera Carnauba) Wax, Caprylic/Capric Triglyceride, Cetyl Alcohol, Calcium Sulfate, Montmorillonite, Beeswax (Cera Alba), Tocopherol, Aloe Barbadensis Leaf Extract, Chamomilla Recutita (Matricaria) Extract, Ascorbyl Palmitate, Wheat Germ Glycerides. May Contain (+/-) Mica, Titanium Dioxide (CI 77891), Bismuth Oxychloride (CI 77163), Iron Oxides (CI 77491, CI 77492, CI 77499), Carmine (CI 75470).']",23,0,0,0,0,0,,Makeup,Eye,Eyeshadow,1,23,23
P474812,Cream Bronzer,5746,Anastasia Beverly Hills,39659,4.5417,707,1 oz / 30 mL,Color,Warm Tan,fair to light with warm pink undertones,"['Warm Tan Phenyl Trimethicone, Silica, Dimethicone, Bis-Diglyceryl Polyacyladipate-2, Isononyl Isononanoate, Mica, Microcrystalline Wax/Cera Microcristallina/Cire Microcristalline, Sorbitan Olivate, Synthetic Fluorphlogopite, Synthetic Wax, Octyldodecanol, Triethoxycaprylylsilane, Sorbitan Isostearate, 1,2- Hexanediol, Polyhydroxystearic Acid, Aluminum Hydroxide, Ethylhexyl Palmitate, Isopropyl Myristate, Isostearic Acid, Lecithin, Polyglyceryl-3 Polyricinoleate, Tocopheryl Acetate, Caprylyl Glycol, Ethylhexylglycerin, May Contain/Peut Contenir (+/-): Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Manganese Violet (Ci 77742)']",35,0,0,0,0,0,"['Cream Formula', 'Matte Finish', 'Without Phthalates', 'Fragrance Free', 'Without Parabens', 'Without Sulfates SLS & SLES']",Makeup,Cheek,Bronzer,9,35,35
P450720,Contour & Highlight Stick,5746,Anastasia Beverly Hills,37976,3.8262,351,0.32 oz/ 9.1 g,Color,Shadow,contour caramel latte,"['Phenyl Trimethicone, Dimethicone, Isononyl Isononanoate, Silica, Bis-Diglyceryl Polyacyladipate-2, Ozokerite, Polymethyl Methacrylate, Triisodecyl Trimellitate, Polyethylene, Microcrystalline Wax/Cera Microcristallina, Euphorbia Cerifera (Candelilla) Wax/Candelilla Cera, Kaolin, Ethylhexyl Palmitate, Isopropyl Myristate, Isostearic Acid, Lecithin, Limnanthes Alba (Meadowfoam) Seed Oil, Polyglyceryl-3 Polyricinoleate, Polyhydroxystearic Acid, Simmondsia Chinensis (Jojoba) Seed Oil, Sodium Magnesium Silver Phosphate, Tocopheryl Acetate. May Contain (+/-): Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891).']",25,0,0,0,0,0,,Makeup,Face,Contour,3,25,25
P395205,Waterproof Crème Color,5746,Anastasia Beverly Hills,32099,3.4277,346,0.14 oz/ 4 g,Color,Jet,black,"['Cyclopentasiloxane, Isododecane, Polyethylene, Cyclohexasiloxane, Trimethylsiloxysilicate, Ozokerite, Bis-Diglyceryl Polyacyladipate-2, Silica Dimethyl Silylate, Silica, Mica, Caprylyl Glycol, Ethylhexylglycerin, Propylparaben, Tocopheryl Acetate, Triethoxycaprylylsilane, May Contain/Peut Contenir: (+/-) Blue 1 Lake (CI 42090), Bismuth Oxychloride (CI 77163), Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499).']",18,0,0,0,0,0,,Makeup,Eye,Eyeshadow,0,,
